date,round,num,plant,strip,sample,tube_label,fresh_weight,leaf_area,dry_weight,SLA,LDMC,notes
7/31/2025,1,1,wide,1,1,w1-1,0.1410,9.081,0.0291,,,"each sample will have tubes n,p,c"
7/31/2025,1,2,wide,1,2,w1-2,0.1335,9.679,0.0328,,,
7/31/2025,1,3,wide,1,3,w1-3,0.3885,12.839,0.0748,,,
7/31/2025,1,4,wide,1,4,w1-4,0.2250,15.030,0.0536,,,
7/31/2025,1,5,cent,1,1,c1-1,0.0778,4.687,0.0203,,,
7/31/2025,1,6,cent,1,2,c1-2,0.1015,3.898,0.0252,,,
7/31/2025,1,7,cent,1,3,c1-3,0.0536,3.118,0.0146,,,
7/31/2025,1,8,cent,1,4,c1-4,0.0762,6.404,0.0212,,,
7/31/2025,1,9,dican,1,1,di1-1,0.0460,2.306,0.0126,,,
7/31/2025,1,10,dican,1,2,di1-2,0.0914,4.135,0.0282,,,
7/31/2025,1,11,dican,1,3,di1-3,0.1603,6.434,0.0427,,,
7/31/2025,1,12,dican,1,4,di1-4,0.0727,3.353,0.0242,,,
7/31/2025,1,13,silky,1,1,s1-1,0.0278,1.749,0.0090,,,
7/31/2025,1,14,silky,1,2,s1-2,0.0317,1.837,0.0120,,,
7/31/2025,1,15,silky,1,3,s1-3,0.0304,2.049,0.0100,,,
7/31/2025,1,16,silky,1,4,s1-4,0.0329,1.855,0.0105,,,
7/31/2025,1,17,dog,1,1,do1-1,0.1159,4.505,0.0266,,,
7/31/2025,1,18,dog,1,2,do1-2,0.0963,4.380,0.0256,,,
7/31/2025,1,19,dog,1,3,do1-3,0.0782,3.379,0.0185,,,
7/31/2025,1,20,dog,1,4,do1-4,0.0456,2.102,0.0129,,,
7/31/2025,1,21,wide,2,1,w2-1,0.2688,15.752,0.0609,,,
7/31/2025,1,22,wide,2,2,w2-2,0.1485,8.625,0.0352,,,
7/31/2025,1,23,wide,2,3,w2-3,0.1170,5.859,0.0291,,,
7/31/2025,1,24,wide,2,4,w2-4,0.3337,28.294,0.0831,,,
7/31/2025,1,25,cent,2,1,c2-1,0.1149,7.703,0.0344,,,
