round,assay_num,date_assay,label,absorbance,notes
1,1,10/29/2025,w1-1,0.8844,
1,1,10/29/2025,w1-1,0.8481,
1,1,10/29/2025,w1-1,0.8645,
1,1,10/29/2025,w1-2,1.1658,
1,1,10/29/2025,w1-2,1.2023,
1,1,10/29/2025,w1-2,1.1927,
1,1,10/29/2025,w1-3,0.8459,
1,1,10/29/2025,w1-3,0.8565,
1,1,10/29/2025,w1-3,0.8462,
1,1,10/29/2025,w1-4,1.1693,
1,1,10/29/2025,w1-4,1.1478,
1,1,10/29/2025,w1-4,1.1796,
1,1,10/29/2025,c1-1,0.9935,
1,1,10/29/2025,c1-1,1.0228,
1,1,10/29/2025,c1-1,1.0134,
1,1,10/29/2025,c1-2,1.0446,
1,1,10/29/2025,c1-2,1.0685,
1,1,10/29/2025,c1-2,1.0649,
1,1,10/29/2025,c1-3,0.8628,
1,1,10/29/2025,c1-3,0.8748,
1,1,10/29/2025,c1-3,0.8922,
1,1,10/29/2025,c1-4,0.8293,
1,1,10/29/2025,c1-4,0.8211,
1,1,10/29/2025,c1-4,0.8388,
1,1,10/29/2025,di1-1,1.5647,
1,1,10/29/2025,di1-1,1.5704,
1,1,10/29/2025,di1-1,1.5827,
1,1,10/29/2025,di1-2,1.2069,
1,1,10/29/2025,di1-2,1.2241,
1,1,10/29/2025,di1-2,1.1963,
1,1,10/29/2025,di1-3,0.7411,
1,1,10/29/2025,di1-3,0.7338,
1,1,10/29/2025,di1-3,0.7839,
1,1,10/29/2025,di1-4,0.7073,
1,1,10/29/2025,di1-4,0.7816,
1,1,10/29/2025,di1-4,0.6890,
1,1,10/29/2025,s1-1,0.6810,
1,1,10/29/2025,s1-1,0.7041,
1,1,10/29/2025,s1-1,0.7011,
1,1,10/29/2025,s1-2,0.9382,
1,1,10/29/2025,s1-2,0.9419,
1,1,10/29/2025,s1-2,0.9369,
1,1,10/29/2025,s1-3,0.7043,
1,1,10/29/2025,s1-3,0.7161,
1,1,10/29/2025,s1-3,0.7087,
1,1,10/29/2025,s1-4,0.5848,
1,1,10/29/2025,s1-4,0.5806,
1,1,10/29/2025,s1-4,0.5906,
1,1,10/29/2025,do1-1,1.3732,
1,1,10/29/2025,do1-1,1.4136,
1,1,10/29/2025,do1-1,1.4254,
1,1,10/29/2025,do1-2,1.3783,
1,1,10/29/2025,do1-2,1.3849,
1,1,10/29/2025,do1-2,1.3765,
1,1,10/29/2025,do1-3,1.2263,
1,1,10/29/2025,do1-3,1.2409,
1,1,10/29/2025,do1-3,1.2059,
1,1,10/29/2025,do1-4,0.9080,
1,1,10/29/2025,do1-4,0.8748,
1,1,10/29/2025,do1-4,0.9057,
1,2,11/3/2025,w2-1,0.9462,
1,2,11/3/2025,w2-1,0.9365,
1,2,11/3/2025,w2-1,0.9357,
1,2,11/3/2025,w2-2,1.1656,
1,2,11/3/2025,w2-2,1.1557,
1,2,11/3/2025,w2-2,1.1519,
1,2,11/3/2025,w2-3,1.022,
1,2,11/3/2025,w2-3,1.0162,
1,2,11/3/2025,w2-3,1.007,
1,2,11/3/2025,w2-4,0.2807,
1,2,11/3/2025,w2-4,0.28,
1,2,11/3/2025,w2-4,0.2942,
1,2,11/3/2025,c2-1,0.9641,
1,2,11/3/2025,c2-1,0.943,
1,2,11/3/2025,c2-1,0.9644,
