num,strip ,block ,cage ,trt,sp,ind,date,type,round,length,width,sex ,color,stage ,alive,notes
1,1,1,1,ach_high,ach,1,6/20/2025,stock,1 ,22.10,2.45,f,B,,1,
2,1,1,1,ach_high,ach,2,6/20/2025,stock,1 ,18.75,1.84,f,B,,1,
3,1,1,1,ach_high,ach,3,6/20/2025,stock,1 ,30.12,2.34,m,G-str,,1,
4,1,1,1,ach_high,ach,4,6/20/2025,stock,1 ,30.31,3.02,f,G-Bstr,,1,
5,1,1,1,ach_high,ach,5,6/20/2025,stock,1 ,22.54,2.93,u,B,,1,
6,1,1,1,ach_high,ach,6,6/20/2025,stock,1 ,25.87,2.12,m,B,,1,
7,1,1,1,ach_high,ach,7,6/20/2025,stock,1 ,29.15,2.28,m,B,,1,
8,1,1,1,ach_high,ach,8,6/20/2025,stock,1 ,23.84,2.33,f,B,,1,
9,1,1,1,ach_high,ach,9,6/20/2025,stock,1 ,32.43,2.5,f,B,,1,
10,1,1,2,apt_low,apt,1,6/20/2025,stock,1 ,10.63,1.84,u,G,,1,
11,1,1,2,apt_low,apt,2,6/20/2025,stock,1 ,10.98,2.16,f?,G,,1,
12,1,1,2,apt_low,apt,3,6/20/2025,stock,1 ,9.88,1.43,u,G,,1,
13,1,1,2,apt_low,apt,4,6/20/2025,stock,1 ,10.48,2.29,u,G,,1,
14,1,1,2,apt_low,apt,5,6/20/2025,stock,1 ,15.05,2.97,u,G,,1,
15,1,1,2,apt_low,apt,6,6/20/2025,stock,1 ,22.86,4.54,u,G,,1,
16,1,1,3,apt_high,apt,1,6/20/2025,stock,1 ,9.85,1.94,u,G,,1,
17,1,1,3,apt_high,apt,2,6/20/2025,stock,1 ,22.37,4.1,u,G,,1,
18,1,1,3,apt_high,apt,3,6/20/2025,stock,1 ,8.83,1.66,u,G,,1,
19,1,1,3,apt_high,apt,4,6/20/2025,stock,1 ,6.74,1.63,u,G,,1,
20,1,1,3,apt_high,apt,5,6/20/2025,stock,1 ,9.84,2.11,u,G,,1,
21,1,1,3,apt_high,apt,6,6/20/2025,stock,1 ,9.42,1.76,u,G,,1,
22,1,1,3,apt_high,apt,7,6/20/2025,stock,1 ,11.33,2.62,u,G,,1,
23,1,1,3,apt_high,apt,8,6/20/2025,stock,1 ,7.85,1.73,u,G,,1,
24,1,1,3,apt_high,apt,9,6/20/2025,stock,1 ,7.61,1.72,u,G,,1,
25,1,1,4,ach_33,apt,1,6/20/2025,stock,1 ,12.48,2.2,u,G,,1,
26,1,1,4,ach_33,apt,2,6/20/2025,stock,1 ,9.94,1.85,u,G,,1,
27,1,1,4,ach_33,apt,3,6/20/2025,stock,1 ,13.57,2.18,u,G,,1,
28,1,1,4,ach_33,apt,4,6/20/2025,stock,1 ,7.87,1.39,u,G,,1,
29,1,1,4,ach_33,apt,5,6/20/2025,stock,1 ,7.73,1.2,u,G,,1,
30,1,1,4,ach_33,apt,6,6/20/2025,stock,1 ,9.13,1.31,u,G,,1,
31,1,1,4,ach_33,ach,1,6/20/2025,stock,1 ,29.26,2.29,m,B-Wstr,,1,
32,1,1,4,ach_33,ach,2,6/20/2025,stock,1 ,30.72,1.93,m,B ,,1,
33,1,1,4,ach_33,ach,3,6/20/2025,stock,1 ,30.59,2.64,m,B ,,1,
34,1,1,5,ach_66,apt,1,6/20/2025,stock,1 ,9.22,1.48,u,G,,1,
35,1,1,5,ach_66,apt,2,6/20/2025,stock,1 ,7.68,1.27,u,G,,1,
36,1,1,5,ach_66,apt,3,6/20/2025,stock,1 ,9,1.5,u,G,,1,
37,1,1,5,ach_66,ach,1,6/20/2025,stock,1 ,24.19,1.89,f,LB,,1,
38,1,1,5,ach_66,ach,2,6/20/2025,stock,1 ,29.81,2.06,m,B ,,1,
39,1,1,5,ach_66,ach,3,6/20/2025,stock,1 ,27.56,2.40,m,B,,1,
40,1,1,5,ach_66,ach,4,6/20/2025,stock,1 ,17.17,1.98,f,LB,,1,
41,1,1,5,ach_66,ach,5,6/20/2025,stock,1 ,18.53,1.55,f,Y-B,,1,
42,1,1,5,ach_66,ach,6,6/20/2025,stock,1 ,27.9,2.21,m,B-Wstr,,1,
43,1,1,6,ach_low,ach,1,6/20/2025,stock,1 ,28.37,2.41,m,B,,1,
44,1,1,6,ach_low,ach,2,6/20/2025,stock,1 ,18.99,2.55,f,G-Beigestr,,1,
45,1,1,6,ach_low,ach,3,6/20/2025,stock,1 ,28.84,2.32,m,B ,,1,
46,1,1,6,ach_low,ach,4,6/20/2025,stock,1 ,30.14,2.14,m,B ,,1,
47,1,1,6,ach_low,ach,5,6/20/2025,stock,1 ,18.86,1.76,f,G-Tstr,,1,
48,1,1,6,ach_low,ach,6,6/20/2025,stock,1 ,24.83,2.19,f,G,,1,
49,1,2,7,ach_low,ach,1,6/25/2025,stock,1 ,25.92,1.64,f ,G-Tstr,,1,
50,1,2,7,ach_low,ach,2,6/25/2025,stock,1 ,22.99,1.37,f,B ,,1,
51,1,2,7,ach_low,ach,3,6/25/2025,stock,1 ,20.19,1.02,m,B ,,1,
52,1,2,7,ach_low,ach,4,6/25/2025,stock,1 ,18.54,1.01,m,B ,,1,
53,1,2,7,ach_low,ach,5,6/25/2025,stock,1 ,16.16,1.22,f,Y-B,,1,
54,1,2,7,ach_low,ach,6,6/25/2025,stock,1 ,21.82,1.49,m,B ,,1,
55,1,2,8,apt_high,apt,1,6/25/2025,stock,1 ,10.69,1.39,u,G,,1,
56,1,2,8,apt_high,apt,2,6/25/2025,stock,1 ,9.68,1.5,u,G,,1,
57,1,2,8,apt_high,apt,3,6/25/2025,stock,1 ,12,1.63,u,G,,1,
58,1,2,8,apt_high,apt,4,6/25/2025,stock,1 ,9.17,1.41,u,G,,1,
59,1,2,8,apt_high,apt,5,6/25/2025,stock,1 ,18.35,2.29,f,G,,1,
60,1,2,8,apt_high,apt,6,6/25/2025,stock,1 ,14.13,1.95,u,G,,1,
61,1,2,8,apt_high,apt,7,6/25/2025,stock,1 ,16.58,2.23,m,G,,1,
62,1,2,8,apt_high,apt,8,6/25/2025,stock,1 ,17.72,3.16,f,G,,1,
63,1,2,8,apt_high,apt,9,6/25/2025,stock,1 ,12.31,1.38,u,G,,1,
64,1,2,9,ach_33,apt,1,6/25/2025,stock,1 ,12.16,2.06,u,G,,1,
65,1,2,9,ach_33,apt,2,6/25/2025,stock,1 ,12.45,2.14,u,G,,1,
66,1,2,9,ach_33,apt,3,6/25/2025,stock,1 ,8.25,1,u,G,,1,
67,1,2,9,ach_33,apt,4,6/25/2025,stock,1 ,11.95,1.75,u,G,,1,
