date ,round,num,plant,label,tube_wt_1,plant_wt_1,plant_wt_cb,absorb,notes
6/2/2025,1,1,wide,w1-1,1.6140,0.1053,0.0224,,
6/2/2025,1,2,wide,w1-2,1.6332,0.1063,0.0203,,
6/2/2025,1,3,wide,w1-3,1.6540,0.1032,0.0222,,
6/2/2025,1,4,wide,w1-4,1.6513,0.1042,0.0233,,
6/2/2025,1,5,cent,c1-1,1.6734,0.1676,0.0207,,
6/2/2025,1,6,cent,c1-2,1.6252,0.1258,0.0197,,
6/2/2025,1,7,cent,c1-3,1.6132,0.1193,0.0216,,
6/2/2025,1,8,cent,c1-4,1.6717,0.1649,0.0216,,
6/2/2025,1,9,dican,di1-1,1.6875,0.1355,0.0203,,
6/2/2025,1,10,dican,di1-2,1.6856,0.1215,0.0202,,
6/2/2025,1,11,dican,di1-3,1.6078,0.0627,0.0202,,
6/2/2025,1,12,dican,di1-4,1.6170,0.1418,0.0208,,
6/2/2025,1,13,silky,s1-1,1.6955,0.0961,0.0208,,
6/2/2025,1,14,silky,s1-2,1.6783,0.1053,0.0221,,
6/2/2025,1,15,silky,s1-3,1.6784,0.0952,0.0206,,
6/2/2025,1,16,silky,s1-4,1.6905,0.1283,0.0195,,
6/2/2025,1,17,dog,do1-1,1.6845,0.1526,0.026,,
6/2/2025,1,18,dog,do1-2,1.6492,0.1181,0.0245,,
6/2/2025,1,19,dog,do1-3,1.6843,0.1132,0.0242,,
6/2/2025,1,20,dog,do1-4,1.6880,0.1234,0.0232,,
6/2/2025,1,21,wide,w2-1,1.6587,0.1324,0.0225,,
6/2/2025,1,22,wide,w2-2,1.6852,0.1280,0.0226,,
6/2/2025,1,23,wide,w2-3,1.6592,0.1236,0.0201,,
6/2/2025,1,24,wide,w2-4,1.6407,0.1387,0.0219,,
6/2/2025,1,25,cent,c2-1,1.6685,0.1131,0.0214,,
6/2/2025,1,26,cent,c2-2,1.6060,0.1018,0.0231,,
6/2/2025,1,27,cent,c2-3,1.6836,0.1069,0.0244,,
6/2/2025,1,28,cent,c2-4,1.6368,1.1015,0.0205,,
6/2/2025,1,29,dican,di2-1,1.6069,0.1567,0.0212,,
6/2/2025,1,30,dican,di2-2,1.7017,0.1115,0.0205,,
6/2/2025,1,31,dican,di2-3,1.6743,0.1190,0.0231,,
6/2/2025,1,32,dican,di2-4,1.6759,0.1321,0.0221,,
6/2/2025,1,33,silky,s2-1,1.8270,0.0960,0.0217,,
6/2/2025,1,34,silky,s2-2,1.8879,0.1039,0.0205,,
6/2/2025,1,35,silky,s2-3,1.8680,0.1292,0.0249,,
6/2/2025,1,36,silky,s2-4,1.8503,0.0926,0.0225,,
6/2/2025,1,37,dog,do2-1,1.6326,0.1475,0.0214,,
6/2/2025,1,38,dog,do2-2,1.6735,0.1365,0.027,,
6/2/2025,1,39,dog,do2-3,1.6771,0.1316,0.0215,,
6/2/2025,1,40,dog,do2-4,1.6911,0.1106,0.0245,,
6/2/2025,1,41,wide,w3-1,1.8143,0.1117,0.0277,,all samples here and after have 3 ceramic beads and 3 metal beads
6/2/2025,1,42,wide,w3-2,1.8257,0.1071,0.0228,,
6/2/2025,1,43,wide,w3-3,1.8389,0.1004,0.0229,,
6/2/2025,1,44,wide,w3-4,1.8523,0.1030,0.0213,,
6/2/2025,1,45,cent,c3-1,1.8439,0.1062,0.0204,,
6/2/2025,1,46,cent,c3-2,1.8347,0.1018,0.0264,,
6/2/2025,1,47,cent,c3-3,1.8445,0.1064,0.0227,,
6/2/2025,1,48,cent,c3-4,1.8833,0.0454,0.0195,,
6/2/2025,1,49,dican,di3-1,1.8736,0.1330,0.0216,,
6/2/2025,1,50,dican,di3-2,1.8551,0.1150,0.0227,,
6/2/2025,1,51,dican,di3-3,1.8928,0.1030,0.0222,,
6/2/2025,1,52,dican,di3-4,1.8344,0.1105,0.0224,,
6/2/2025,1,53,silky,s3-1,1.8561,0.0761,0.0191,,
6/2/2025,1,54,silky,s3-2,1.8569,0.0947,0.0213,,
6/2/2025,1,55,silky,s3-3,,,,,
6/2/2025,1,56,silky,s3-4,1.8582,0.0883,0.0211,,
6/2/2025,1,57,dog,do3-1,1.8448,0.1101,0.0264,,
6/2/2025,1,58,dog,do3-2,1.8905,0.1065,0.0231,,
6/2/2025,1,59,dog,do3-3,1.8464,0.1009,0.023,,
6/2/2025,1,60,dog,do3-4,,,,,
6/2/2025,1,61,wide,w4-1,1.9005,0.1033,0.0249,,
6/2/2025,1,62,wide,w4-2,1.8003,0.1240,0.0269,,
6/2/2025,1,63,wide,w4-3,1.8767,0.1202,0.0223,,
6/2/2025,1,64,wide,w4-4,1.7850,0.1185,0.0253,,
6/2/2025,1,65,cent,c4-1,1.8916,0.1165,0.0205,,
6/2/2025,1,66,cent,c4-2,1.8894,0.1229,0.0232,,
6/2/2025,1,67,cent,c4-3,1.7953,0.1182,0.0224,,
6/2/2025,1,68,cent,c4-4,1.8728,0.1061,0.0276,,
6/2/2025,1,69,dican,di4-1,1.8055,0.1219,0.0227,,
6/2/2025,1,70,dican,di4-2,1.8380,0.1058,0.0229,,
6/2/2025,1,71,dican,di4-3,1.8897,0.1161,0.0195,,
6/2/2025,1,72,dican,di4-4,1.8902,0.1270,0.0201,,
6/2/2025,1,73,silky,s4-1,1.8282,0.1012,0.0241,,
6/2/2025,1,74,silky,s4-2,1.8580,0.1013,0.0223,,
6/2/2025,1,75,silky,s4-3,1.8339,0.1074,0.0266,,
6/2/2025,1,76,silky,s4-4,1.8188,0.1120,0.0208,,
6/2/2025,1,77,dog,do4-1,1.8459,0.1170,0.0211,,
6/2/2025,1,78,dog,do4-2,1.8078,0.1079,0.029,,
6/2/2025,1,79,dog,do4-3,1.8828,0.1058,0.0268,,
6/2/2025,1,80,dog,do4-4,1.8229,0.1012,0.0237,,
