round,mesocosm,plantsp,leaf,trt,den,height,stems,nm_leaves,1total_w,1total_h,nm_dmged,cons_area,sp,stage,body_lg,sex,vial_weight,poo_weight,Notes
1,1,grass,1,b,33,,,,1.1,15.5,0,0,ach,3,,u,1.1175,1.1175,died on day 2
1,1,forb ,1,b,33,,4,,2.5,2.5,0,,ach,,,,,,
1,1,forb ,2,b,33,,,,,,0,,ach,,,,,,
1,1,forb ,3,b,33,,,,,,0,,ach,,,,,,
1,2,grass,1,b,50,,,,1,10.5,1,1.471,ach,3.5,,m,1.1251,1.1315,
1,2,grass,2,b,50,,,,1,12.5,1,1.491,ach,,,,,,
1,2,forb ,1,b,50,,3,,2.3,2.2,0,,ach,,,,,,
1,2,forb ,2,b,50,,,,,,0,,ach,,,,,,
1,3,grass,1,b,66,,,,1,12,1,2.185,ach,4.5,,m,1.1169,1.1263,
1,3,grass,2,b,66,,,,,9.5,1,2.114,ach,,,,,,
1,3,grass,3,b,66,,,,,10.5,1,0.711,ach,,,,,,
1,3,forb ,1,b,66,,2,,1.5,2,0,,ach,,,,,,
1,4,grass,1,u,33,,,,1.1,19.3,1,2.039,ach,3.5,,f?,1.125,1.1304,
1,4,forb ,1,u,33,,2,,2.2,2.3,0,,ach,,,,,,
1,4,forb ,2,u,33,,,,,,0,,ach,,,,,,
1,4,forb ,3,u,33,,,,,,0,,ach,,,,,,
1,5,grass,1,u,50,,,,1.4,16,1,1.643,ach,3.5,,f?,1.1095,1.1141,
1,5,grass,2,u,50,,,,,9.8,1,0.803,ach,,,,,,
1,5,forb ,1,u,50,,3,,2.5,2,0,,ach,,,,,,
1,5,forb ,2,u,50,,,,,0,0,,ach,,,,,,
1,6,grass,1,u,66,,,,1,14.5,0,,ach,4,,f?,1.1249,1.1392,
1,6,grass,2,u,66,,,,,12.5,1,2.015,ach,,,,,,
1,6,grass,3,u,66,,,,,13,1,2.619,ach,,,,,,
1,6,forb ,1,u,66,,2,,2,2.2,0,,ach,,,,,,
1,7,grass,1,b,33,,,,1,8.5,1,0.141,apt,4.5,,f?,1.1251,1.1305,
1,7,forb ,1,b,33,,3,,1.6,1.6,0,,apt,,,,,,
1,7,forb ,2,b,33,,,,,,0,,apt,,,,,,
1,7,forb ,3,b,33,,,,,,0,,apt,,,,,,
1,8,grass,1,b,50,,,,1.1,15,1,1.077,apt,3,,u,1.1048,1.1074,
1,8,grass,2,b,50,,,,,,1,0.028,apt,,,,,,
1,8,forb ,1,b,50,,2,,2.1,2.5,0,,apt,,,,,,
1,8,forb ,2,b,50,,,,,,0,,apt,,,,,,
1,9,grass,1,b,66,,,,1,13,1,0.418,apt,4,,u,1.044,1.1061,
1,9,grass,2,b,66,,1,,1.4,1.8,0,,apt,,,,,,
1,9,grass,3,b,66,,,,,,0,,apt,,,,,,
1,9,forb ,1,b,66,,,,,,0,,apt,,,,,,
1,10,grass,1,u,33,,,,1.2,13.5,1,0.936,apt,3.5,,u,1.1171,1.1202,
1,10,forb ,1,u,33,,1,,2,2,0,,apt,,,,,,
1,10,forb ,2,u,33,,,,,,0,,apt,,,,,,
1,10,forb ,3,u,33,,,,,,0,,apt,,,,,,
1,11,grass,1,u,50,,,,1,13,0,,apt,3.5,,u,1.1173,1.1176,dead
1,11,grass,2,u,50,,,,,,0,,apt,,,,,,
1,11,forb ,1,u,50,,2,,2.5,2.5,0,,apt,,,,,,
1,11,forb ,2,u,50,,,,,,0,,apt,,,,,,
