strip,round,cage,b_u,plant ,perc,height ,bare,notes 
1,1,1,b,wide ,0,,,
1,1,1,b,cent ,0,,,
1,1,1,b,dican ,7,19,,
1,1,1,b,bb,1,5,,
1,1,1,b,silky,12,28,,
1,1,1,b,dog ,0,,,
1,1,1,b,other ,3,,,"fab (1), ast (1)"
1,1,2,b,wide ,0,,,
1,1,2,b,cent ,10,27,,
1,1,2,b,dican ,2,11,,
1,1,2,b,bb,1,,,
1,1,2,b,silky,3,18,,
1,1,2,b,dog ,0,,,
1,1,2,b,other ,0,,,
1,1,3,b,wide ,1,6,,
1,1,3,b,cent ,4,20,,
1,1,3,b,dican ,1,8,,
1,1,3,b,bb,3,7,,
1,1,3,b,silky,10,19,,
1,1,3,b,dog ,0,,,
1,1,3,b,other ,0,,,
1,1,4,b,wide ,0,,,
1,1,4,b,cent ,8,18,,
1,1,4,b,dican ,0,,,
1,1,4,b,bb,0,,,
1,1,4,b,silky,7,16,,
1,1,4,b,dog ,0,,,
1,1,4,b,other ,3,,,forb
1,1,5,b,wide ,0,,,
1,1,5,b,cent ,15,21,,
1,1,5,b,dican ,0,,,
1,1,5,b,bb,4,,,
1,1,5,b,silky,5,20,,
1,1,5,b,dog ,0,,,
1,1,5,b,other ,0,,,
1,1,6,b,wide ,7,14,,
1,1,6,b,cent ,5,14,,
1,1,6,b,dican ,1,6,,
1,1,6,b,bb,4,10,,
1,1,6,b,silky,0,,,
1,1,6,b,dog ,0,,,
1,1,6,b,other ,0,,,
1,1,7,b,wide ,0,,,
1,1,7,b,cent ,15,18,,
1,1,7,b,dican ,0,,,
1,1,7,b,bb,0,,,
1,1,7,b,silky,5,15,,
1,1,7,b,dog ,0,,,
1,1,7,b,other ,1,,,fab
1,1,8,b,wide ,0,,,
1,1,8,b,cent ,17,29,,
1,1,8,b,dican ,0,,,
1,1,8,b,bb,3,7,,
1,1,8,b,silky,6,14,,
1,1,8,b,dog ,0,,,
1,1,8,b,other ,0,,,
1,1,9,b,wide ,0,,,
1,1,9,b,cent ,12,28,,
1,1,9,b,dican ,0,,,
1,1,9,b,bb,0,,,
1,1,9,b,silky,0,,,
1,1,9,b,dog ,7,18,,
1,1,9,b,other ,0,,,
1,1,10,b,wide ,0,,,
1,1,10,b,cent ,19,30,,
1,1,10,b,dican ,1,15,,
1,1,10,b,bb,0,,,
1,1,10,b,silky,3,13,,
1,1,10,b,dog ,0,,,
1,1,10,b,other ,0,,,
1,1,11,b,wide ,0,,,
1,1,11,b,cent ,22,26,,
1,1,11,b,dican ,0,,,
1,1,11,b,bb,0,,,
1,1,11,b,silky,0,,,
1,1,11,b,dog ,0,,,
1,1,11,b,other ,1,,,forb
1,1,12,b,wide ,0,,,
1,1,12,b,cent ,13,32,,
1,1,12,b,dican ,0,,,
1,1,12,b,bb,0,,,
1,1,12,b,silky,4,15,,
1,1,12,b,dog ,0,,,
1,1,12,b,other ,4,,,forb
2,1,13,u,wide ,0,,,
2,1,13,u,cent ,23,28,,
2,1,13,u,dican ,0,,,
2,1,13,u,bb,2,8,,
2,1,13,u,silky,12,24,,
2,1,13,u,dog ,0,,,
2,1,13,u,other ,4,,,fab
2,1,14,u,wide ,0,,,
2,1,14,u,cent ,0,,,
2,1,14,u,dican ,4,13,,
2,1,14,u,bb,6,5,,
2,1,14,u,silky,12,19,,
2,1,14,u,dog ,0,,,
2,1,14,u,other ,0,,,
2,1,15,u,wide ,0,,,
2,1,15,u,cent ,0,,,
2,1,15,u,dican ,0,,,
2,1,15,u,bb,2,7,,
2,1,15,u,silky,18,27,,
2,1,15,u,dog ,17,41,,
2,1,15,u,other ,1,,,fab
2,1,16,u,wide ,6,12,,
2,1,16,u,cent ,0,0,,
2,1,16,u,dican ,3,12,,
2,1,16,u,bb,5,7,,
2,1,16,u,silky,7,30,,
2,1,16,u,dog ,0,,,
2,1,16,u,other ,1,,,ast
2,1,17,u,wide ,12,16,,
2,1,17,u,cent ,0,,,
2,1,17,u,dican ,3,11,,
2,1,17,u,bb,2,5,,
2,1,17,u,silky,10,20,,
2,1,17,u,dog ,0,,,
2,1,17,u,other ,0,,,
2,1,18,u,wide ,0,,,
2,1,18,u,cent ,0,,,
2,1,18,u,dican ,1,10,,
2,1,18,u,bb,5,5,,
2,1,18,u,silky,13,18,,
2,1,18,u,dog ,0,,,
2,1,18,u,other ,0,,,
2,1,19,u,wide ,12,17,,
2,1,19,u,cent ,0,,,
2,1,19,u,dican ,0,,,
2,1,19,u,bb,3,6,,
2,1,19,u,silky,8,26,,
2,1,19,u,dog ,0,,,
2,1,19,u,other ,1,fab,,
2,1,20,u,wide ,10,18,,
2,1,20,u,cent ,8,32,,
2,1,20,u,dican ,0,,,
2,1,20,u,bb,1,5,,
2,1,20,u,silky,0,,,
2,1,20,u,dog ,0,,,
2,1,20,u,other ,0,,,
2,1,21,u,wide ,7,10,,
2,1,21,u,cent ,7,29,,
2,1,21,u,dican ,1,7,,
2,1,21,u,bb,5,3,,
2,1,21,u,silky,6,30,,
2,1,21,u,dog ,0,,,
2,1,21,u,other ,4,16,,apuntia
2,1,22,u,wide ,16,26,,
2,1,22,u,cent ,18,45,,
2,1,22,u,dican ,4,16,,
2,1,22,u,bb,2,7,,
2,1,22,u,silky,6,20,,
2,1,22,u,dog ,0,,,
2,1,22,u,other ,0,,,
2,1,23,u,wide ,0,,,
2,1,23,u,cent ,15,54,,
2,1,23,u,dican ,2,25,,
2,1,23,u,bb,3,10,,
2,1,23,u,silky,0,,,
2,1,23,u,dog ,0,,,died?
2,1,23,u,other ,1,,,
2,1,24,u,wide ,0,,,
2,1,24,u,cent ,22,54,,
2,1,24,u,dican ,0,,,
2,1,24,u,bb,0,,,
2,1,24,u,silky,0,,,
2,1,24,u,dog ,0,,,
2,1,24,u,other ,1,,,fab
3,1,25,b,wide ,0,,,
3,1,25,b,cent ,10,29,,
3,1,25,b,dican ,0,,,
3,1,25,b,bb,1,5,,
3,1,25,b,silky,1,15,,
3,1,25,b,dog ,0,,,
3,1,25,b,other ,6,,,"sedge(5), forb(1)"
3,1,26,b,wide ,0,,,
3,1,26,b,cent ,8,12,,
3,1,26,b,dican ,0,,,
3,1,26,b,bb,1,6,,
3,1,26,b,silky,10,19,,
3,1,26,b,dog ,0,,,
3,1,26,b,other ,3,,,"fab(2), ast(1)"
3,1,27,b,wide ,0,,,
3,1,27,b,cent ,8,13,,
3,1,27,b,dican ,0,,,
3,1,27,b,bb,2,5,,
3,1,27,b,silky,14,18,,
3,1,27,b,dog ,0,,,
3,1,27,b,other ,0,,,
3,1,28,b,wide ,0,,,
3,1,28,b,cent ,5,10,,
3,1,28,b,dican ,0,,,
3,1,28,b,bb,4,5,,
3,1,28,b,silky,5,15,,
3,1,28,b,dog ,0,,,
3,1,28,b,other ,1,,,forb
3,1,29,b,wide ,0,,,
3,1,29,b,cent ,4,11,,
3,1,29,b,dican ,0,,,
3,1,29,b,bb,5,6,,
3,1,29,b,silky,8,15,,
3,1,29,b,dog ,0,,,
3,1,29,b,other ,0,,,
3,1,30,b,wide ,8,9,,
3,1,30,b,cent ,0,,,
3,1,30,b,dican ,0,,,
3,1,30,b,bb,8,9,,
3,1,30,b,silky,8,27,,
3,1,30,b,dog ,0,,,
3,1,30,b,other ,0,,,
3,1,31,b,wide ,1,7,,
3,1,31,b,cent ,12,21,,
3,1,31,b,dican ,0,,,
3,1,31,b,bb,0,,,
3,1,31,b,silky,8,14,,
3,1,31,b,dog ,0,,,
3,1,31,b,other ,0,,,
3,1,32,b,wide ,14,11,,
3,1,32,b,cent ,0,0,,
3,1,32,b,dican ,6,20,,
3,1,32,b,bb,0,,,
3,1,32,b,silky,9,29,,
3,1,32,b,dog ,5,38,,
3,1,32,b,other ,0,,,
3,1,33,b,wide ,0,,,
3,1,33,b,cent ,17,38,,
3,1,33,b,dican ,0,,,
3,1,33,b,bb,0,,,
3,1,33,b,silky,15,25,,
3,1,33,b,dog ,0,0,,
3,1,33,b,other ,1,,,
3,1,34,b,wide ,10,31,,
3,1,34,b,cent ,1,4,,
3,1,34,b,dican ,4,6,,
3,1,34,b,bb,1,12,,
3,1,34,b,silky,0,,,
